,body,bert,hate,target
12614,"Donald J Trump is and will be my President!!!!

As for the Biden/Harris gang, that is not just a rain cloud over your corrupt heads...it is a F-5 Tornado; a Category 5 Hurricane and a Tsunami headed your way!!!

75+ Million of Americans support @blocked",1,1,0
12615,Testing should be precise. Numbers given to public are fake and we don’t believe them. Schools and now more closings of businesses because of fake numbers. Get the politics out of COVID and let us take care of ourselves!,0,0,0
12616,Getting tired of all this swamp cesspool BS? -> #Trump2020 #Trump2020LandslideVictory #MAGA #KAG #KAG2020 #MAGA2020 Twitter still holding The Post's account hostage over Hunter Biden links,0,0,0
12617,"Does it define ideologically the limits of free speech ?

Or does it regard free speech as a right explicitly to challenge orthodox views as long as they exist within the law eg do not articulate violence / race hate etc ?

Will they defend all free speech that liberals find intolerable and offensive or what the law defines as offensive ?",0,0,0
12618,I hope stone F’s Schiff in the A,1,1,0
12619,I’m done with social media rumble Twitter and parlor if there’s no justice what’s the point?,0,0,0
12620,@LyndaJ Ohh that place losers like Trump hang out???,0,-1,0
12621,Thank you to all our men and women who serve and protect our constitution ❤️🤍💙,0,0,0
12622,Glad to see you here on Parler where free speech is actually alive and well. Looking forward to mixing it up with you here and keeping the truth alive in the face of the constant bias we face. Let's Go!,0,0,0
12623,So far it’s all about vaccines. Give it a rest.,0,0,0
12624,I just joined Parler! Looking forward to meeting everyone here.,0,0,0
12625,"@Vovaputinsky Your welcome. On a serious note though. Do you really think biden is the right choice, or is it the democratic party that your for? I've always been democratic, trump attempting to drain the swamp made me cross. Weve all said it a million times the government is corrupt. To what extent who only knows. I find it all very interesting to follow. We the people no matter the side want our constitution to be upheld. I dont agree with shuting our country down for a year all to undermine a president is right. Theres good and bad with both sides. Give and take. I think the democratic party has popped its ugly head up and may have hurt themselves in future elections. The people are watching closely more than ever now. Faith has to be restored one way or another.",0,0,0
12626,@MyLifeNow2020 Lol who abused woman? #freeMelania?,0,0,0
12627,"Wondering, after hearing the video of Biden speaking to BLM if this dementia crap was a hoax?",0,-1,0
12628,@PatriotCop Moonbeam was pretty CORRUPT but Newsom is WORST! He is following his EVIL Aunt’s orders. All of the LEFTISTS ❤️ illegals. Those are the ONLY people who would vote for them and also the STUPID Unions like for instance the Teachers Union.,1,1,0
12629,I hope so. He's a bad man,0,-1,0
12630,"You could also just make a plea to Americans to show up to there en mass.. every ex military, red neck, Patriot, cop, and anyone that carrys a gun... and we would flush them all out",1,1,people of color
12631,The entertainment venues across the board are ruled by the left. I ignore all of them. I won't spend a penny on their tripefests.,0,0,0
12632,"Many other innocent children were lost🙏! God be with their parents💔💔💔💔🙏!
Corrupt government!!!!!!!!!!!",1,0,0
12633,This is a threat. The Democrats like Hitler is going to murder every person that voted Republican. The Germans cowered and allowed Hitler the power he demanded. It wasn’t until it was too late they realized what a horrible mistake it was to roll over and allow the genocide that followed. We CANNOT repeat their mistake! The time to fight is NOW!,1,1,immigrants
12634,The boot is to cover his ankle monitor!!! House arrest maybe??,0,0,0
12635,Still more excited to watch the Trump - Biden debates!,0,0,0
12636,"@Nordic5861 This is funny, but it may be scary true.",0,0,0
12637,Also see Rantingly and Citizen Free Press.,0,-1,0
12638,"You can see Paul thinks he is OFF the hook. No my dear it is only beginning and don't think your killing all the old folks( me) Will help you any. There is a higher scour t order and you and your organization shall pay me my heritage and my alimony my story never altered while you tried to screw the world over,!! As Bill Gates ans Melinda gates you are going to see your backsides . Do not forget about Billy goat and his Hillary. You are all toast. BABYLON HAD FALLEN",1,1,women
12639,"There is a bigger sickness 
In this country now. 
As evil takes hold of hearts.",0,-1,0
12640,Dont they unseal and count the votes January 6th?,0,0,0
12641,TRUMP TOLD US. DEMONCRATS LIED. TRUMP2020. DEMONCRATS ARE BUSY.,1,1,0
12642,"And furthermore, why can so many liberals lie to Congress with nothing happening to them, but if a conservative does it a SWAT team kicks in their door to drag them off to prison.",1,0,0
12643,Yes but we have to be ready to fight,0,0,0
12644,Welcome! For people looking for Parler tips and how tos Check out @parlersupport or the Parler Youtube page. The videos are in both places. There is also a Parler101 channel which has some good data as well.,0,0,0
12645,That’s who I just voted for! 😊🗽⚖️🇺🇸🙏🏽💜,0,0,0
12646,"I've spent my adult life fighting for Liberty, and I am excited about this new space where I can openly share my work with special people like you.

Parler accepts your right to express your thoughts, opinions and ideals online. No “throttling.” No shadow banning. Just Free Speech—our God-given, Constitutional Right.",0,0,0
12647,I hope not but it is time for peaceful action.,0,0,0
12648,"Welcome to Parler. Hope you enjoy your new found freedom. Have fun, interact and enjoy. #newuser #truefreespeech #parlerconcierge",0,0,0
12649,Marion Smith: Rising coronavirus death toll proves communism kills,0,0,0
12650,يبارك فيك، افااا هذي هقوتك بي💔💔 ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه,0,-1,0
12651,Welcome to Parler! Help us MAKE AMERICA GREAT AGAIN by clicking the link below. Be sure to text TRUMP to 88022!,0,0,0
12652,Breaking: New emails from Steve Bannon’s War Room show that President Barack Obama was brought into the Biden schemes per an email from Biden’s brother.,0,0,0
12653,Just wait until the pendulum swings back. They will suffer !,0,0,0
12654,I wonder how much he made off of this photo op 🙄🖕🤬💩🐀,0,0,0
12655,Adios you traitor piece of shit.,1,1,immigrants
12656,“Come on man” let’s clear these crooks out! Democrats want to destroy our country and burn 🔥 the constitution ‼️🇺🇸⚖️🗽⌛️🙏,1,1,0
12657,@NeeraTanden I’m Italian you would be paying my bills and mowing the yard while I sipped tea and watched. Not really I wouldn’t cuck you with a stolen dick. Just saying.,0,0,0
12658,Welcome! For people looking for Parler tips and how tos Check out @parlersupport or the Parler Youtube page. The videos are in both places. There is also a Parler101 channel which has some good data as well.,0,0,0
12659,If they could do it in a peaceful manor but they aren’t so how is it going against the constitution please explain how if you would be so kind to ty,0,0,0
12660,Navy Secretary Ousted Over Mishandling of Navy SEAL Case,0,0,0
12661,I just joined Parler! Looking forward to meeting everyone here.,0,0,0
12662,Hacked to taken down by Jack,0,0,0
12663,"Abolish those who can't embrace America because......well, this is AMERICA.
#AmericaFirst",0,0,0
12664,Rantz: Seattle-area extremists demanding you give up your home is peak 2020,0,-1,0
12665,"Awesome...where and when are the F-ing indictments coming. We need to see action. Without action you have not done anything to the deep state. Devin dont get me wrong, I am grateful for all you have done. But if these people skate on this we have accomplished nothing.",0,-1,0
12666,Yes I was permanently suspended from twiitter as well.,0,-1,0
12667,He also said that natural disasters will stop under him also!! 🤣😂🤣😂 can we say dementia/Alzheimers?,0,-1,0
12668,"Hahahahah!! A joke. They hate it all. They hate Christmas, they hate everything so much .they obviously only get bonesfor themselves. And thats fine. That just means no one has to listen to em anymore. And we shouldn't. I don't know how so many people are scared of unlawful consequences. Sue em.",0,-1,0
12669,"@Francesstein20 At the time, it didn't cross my mind. Really wishing I had at this point.",0,0,0
12670,"Belonging
🙏🙏🙏
Rejoice that your names are registered in heaven. Luke 10:20",0,-1,0
12671,Could be because that’s part of the #agenda.,0,0,0
12672,Breaking? This was written 2d ago.,0,0,0
12673,"Has something to do with Fox giving up on our president when he needs us the most. 
I did like your show on Sunday Maria.",0,0,0
12674,I just joined Parler! Looking forward to meeting everyone here.,0,0,0
12675,"Dinesh, it’s mostly bullshit in an attempt to bring down POTUS",0,-1,0
12676,Peace out!!! I haven't watched there garbage since they started taking a knee!!! They can kiss my ass and they will never get another dime of my money!,1,1,0
12677,I am having difficulty with Christianity. I wonder if Christians today if they were transported back to America’s founding would have supported the revolution. My husband used to attend a local church but then I would look at the denomination website and it seemed to embrace leftist causes. I feel lost!,0,0,0
12678,Everybody already knows the problem is that scotus has been bought and paid for.,0,0,0
12679,We can’t just sit back and watch this happen. We are loosing our country. God help us please.,0,0,0
12680,"Out of site, out of mind",0,0,0
12681,Looks like a chicken walker using a blow dart gun! Really cool illustration.,1,0,0
12682,Holy crap he just lost the election,0,0,0
12683,"Christmas, celebrated as is tradition in America, would have accomplished the same goal. We did it and all I got was this head cold. Vitamins C, D and Zinc and it seems like nbd.",0,0,0
12684,It is quite baffling. Makes you wonder.,0,0,0
12685,Get your resume ready. Oh I forgot you all end up high paid lobbyists to fuck the American public.,1,0,0
12686,"I've spent my adult life fighting for Liberty, and I am excited about this new space where I can openly share my work with special people like you.

Parler accepts your right to express your thoughts, opinions and ideals online. No “throttling.” No shadow banning. Just Free Speech—our God-given, Constitutional Right.",0,0,0
12687,This is really getting bad. We have to keep reminding ourselves God is in control. The Lord said I have overcome the world. It doesn't mean it doesn't get hard sometimes especially when their calling you racist when we know that's the farthest thing from the truth. God made all of us in His image.,0,-1,0
12688,Glad to see you here on Parler where free speech is actually alive and well. Looking forward to mixing it up with you here and keeping the truth alive in the face of the constant bias we face. Let's Go!,0,0,0
12689,I just heard Faci mention this . He said others said that and that he didn’t recall making those statements .,0,-1,0
12690,"I disagree. Organizing only makes it easier for them to track you down. Should President Trump lose, intimate cells of loosely associated Patriots will be better. The FBI might be willing to move slowly for President Trump, but they won't be for the Globalists. Operate with no names. Bogus information. And stay quiet. If such a thing happens, we will need to do as they have done, infiltrate, sabotage, and general undermining of their power structure will be required. Strike teams with almost no information will also be required. I don't know what the future holds but, I do know that flashing your name in lights all over the internet, in emails, etc., is premature at best and a re-education or death sentence at worst. By all means, shout your support from the roof tops, but not in any way directly traceable back to you! The Democrats have convinced half of America that Patriots are evil and fightable by any means necessary. Life will get very difficult for anyone known publicly.",1,0,0
12691,"I've spent my adult life fighting for Liberty, and I am excited about this new space where I can openly share my work with special people like you.

Parler accepts your right to express your thoughts, opinions and ideals online. No “throttling.” No shadow banning. Just Free Speech—our God-given, Constitutional Right.",0,0,0
12692,I’m 🙏🏼🙏🏼🙏🏼 that there is that one judge that does have a backbone to do what’s right,0,0,0
12693,#memes #meme #politic #Canada #Ontario #Anonymous #Expose #Truth,0,0,0
12694,"Republicans, if you were a frequent flier on the Lolita Express...well, let's just assume you were.
Why else would you turn on our president and the strongest Republican voting base in history.",0,0,0
12695,@Nelsonrj That’s were it came from in out modern time.,0,0,0
12696,"Keep trying, one day you may actually find something significant.",0,0,0
12697,"LIVE 10AM-12PM ET: #WarRoomPandemic with #SteveBannon @Raheem & Jack Maxey featuring special guests:

 ➡️ @kenblackwell
 ➡️ #CCP #whistleblower @DrLMYAN19Jan2020
 ➡️ @Boris Epshteyn @TeamTrump
 ➡️ @jfradioshow LIVE from #Georgia House hearing",0,-1,0
12698,"They know ""TV President elect"" Biden, fake news media all kind , deepstate will have so much to lose when everything exposed ✌️✌️✌️",0,0,0
12699,Welcome! For people looking for Parler tips and how tos Check out @parlersupport or the Parler Youtube page. The videos are in both places. There is also a Parler101 channel which has some good data as well.,0,0,0
12700,You and Laura Loomer. Love it.,0,0,0
12701,"NRA blows and their top-heavy payroll is only worried about dollars, not the 2A rights of their members!",0,0,0
12702,"#co45
Hmmmmm.... I wonder why Parler does not allow me to save this video ?????",0,0,0
12703,You share from Facebook or you can save to phone then share from phone,0,0,0
12704,Welcome to Parler! Help us MAKE AMERICA GREAT AGAIN by clicking the link below. Be sure to text TRUMP to 88022!,0,0,0
12705,@Carmmas45 You are aligning with Communists.,0,-1,0
12706,Welcome to Parler. The first step towards taking back your voice. Thrilled to have you join our growing community! Share with your family & friends. Let’s have some fun. Let's Parley!,0,0,0
12707,"Who had #Obama and all his #RINO friends in GA forcing everyone to use fake Chinese voting machines seeking “DOMINION” over our sacred and GREAT elections? 

Not gonna happen 

#boycottgeorgiarunoffs 
#boycottgeorgia 
#writeintrumpforga 
#foolmeonceshameonyou 
#foolmetwiceshameonme 
#aintgetfooledagain
#prayforrudygiuliani",1,1,women
12708,"I’ve been getting called a cunt, racist bitch, and several other names from someone on Parker trolling. I was told from this person harassing me, he had enough money to shut this app down. Very sad that people are so angry they think they can demonize other people.",1,1,people of color
12709,So black lives don’t really matter?? They can’t have it both ways,0,-1,0
12710,Smells like a fresh bowl of poo poo platter gifted from China joe Biden’s. New butt Buddy president Xi. #joebiden #china #electionfraud2020 💩🚽,1,1,0
12711,@Happy98329 Oh I fully support that!!,0,0,0
12712,"I think the news said about 3,000 tons of nitrate was stored there for 6 yrs.",0,0,0
12713,"I don’t. President Trump May not concede but the Republicans are going to allow the Liberal Socialists and the Globalist to get away with fraud against the American People!!! And there isn’t a damn thing we can do about it unless we get enough shit and take it into our OWN hands. And I for one am ready!!! I am tired of no representation in Congress or the Senate! I am tired of BLM and ANTIFA RIOTING, LOOTING, BURNING, TERRORIZING, THREATENING, and EVEN MURDERING AND THEN GETTING BALED OUT BY THE LIKES OF KAMALA HARRIS AND HOLLYWOOD!!! I am tired of the full on shit Conservatives have took up our ass and down our throats for the past 12 years!!! We never treated Liberals or Socialists in such disgusting ways!!! Screw them! Screw Pelosi, Schumer, WTers, AOC and 3, Clinton’s, even William Barr!! Screw the Supreme Court, screw all the Liberal judges, screw the crooked Liberals that scanned the Biden votes and changed the Trump Votes, screw every RINO, and SCREW THE OBAMAS AND THE BIDENS!!!",1,1,people of color
12714,Biden and Harris destroy election process,1,1,0
12715,Welcome. Great to have you. Follow us for your favorite commentary.,0,0,0
12716,"hehe Joe Biggs. I remember I called him a Pussy on twitter like years ago, like in a jokey way, and he went off on a tangent on how he WASN'T a Pussy. Even I was like 'dude you couldn't just ignore me? ok you're not a pussy...some rando stranger says so..happy?' 🤡 😆",1,0,0
12717,"I've had to see my fair share of inappropriate material while trying to get a better handle on anatomy - so I've spent my morning since awake reporting post after post that goes beyond just ""buttock."" I noticed there is a new account on Parler, @ParlerJury - it should be interesting to see what comes of it. (Seems to be maybe legit, @John is following it)",0,0,0
12718,"Joe Biden and the Democrats hate God, Capitalism, and our Constitution.
Donald J. Trump prays to God, makes America great, and defends our Constitution.
If you want atheist Communism, vote for Joe Biden and Democrats.
If you love your country and want us to succeed, vote GOP!
#TruthIsFree
- Join the conversation on @clouthub",0,-1,0
12719,Jeszcze Polska nie zginęła - “Poland is Not Yet Lost” - Poland’s National Anthem - one of the only countries in Europe keeping Muzzies out. 🇵🇱🇺🇸✝️,0,0,0
12720,"Still advise loading up on ammo. If they pull off this heist, a shooting war almost becomes inevitable imo.",0,0,0
12721,"Mr. Romney, I’m a Utahn and church member. I suggest you go back to your faith of fasting, search, ponder, pray! For I witnessed in real-time Trump votes subtracted and added to Biden. Millions of people witnessed this. You made a oath in your faith and in congress. I ask you to be contrite in all things for God and Savior is witnessing your words and behaviors. Us Utahns voted for you to uphold and support our President Donald Trump. Your recent behaviors have shown abomination. I wish more than anything that you could be more like Lee, Reyes. Rather than exploiting ideas that 73 million Americans are wrong with the fraud we’ve witnessed over this election. Also this plandemic, not denying this illness but stop spreading fear onto We The People, locking us up is only weakening immune systems. No more lockdowns! Start standing up for the people rather than shoving the evils down our throats! God is watching! I’m curious of what your afraid of, what is it you don’t want Exposed?!",0,-1,0
12722,Glad to see you here on Parler where free speech is actually alive and well. Looking forward to mixing it up with you here and keeping the truth alive in the face of the constant bias we face. Let's Go!,0,0,0
12723,The real question here? How much money did Martha and Brett Baier take from George Soros??? #boycottfoxnews #paidAF #electionfraud #stopthecoup #stopthesteal,0,0,0
12724,"Welcome to Parler Mr. Giuliani. I’ve admired and appreciated your efforts on behalf of our country, up to, and including now! You’re a true patriot!",0,0,0
12725,"THESE BLACK HEROES ONCE LIVED AMONG US WITH COURAGE, DIGNITY AND PATRIOTISM .. 🙏👍💖
SO I CAN BOLDLY SAY TO BLM ''FUCK YOU'' ..YOUR CRIMINAL LIVES DON'T MATTER TO ME !!🤬🤬👎👎",1,1,black people
12726,"False reports claim election servers were seized in Germany
By JUDE JOFFE-BLOCK
November 15, 2020
CLAIM: The U.S. Army raided the Frankfurt office of the Spanish election software company Scytl to seize servers that had evidence of voting irregularities in the Nov. 3 U.S. election.

AP’S ASSESSMENT: False. Both the Army and Scytl told The Associated Press the claim is not true. Furthermore, Scytl does not have offices or servers in Frankfurt, Germany.

THE FACTS: Social media users Saturday were sharing reports published by conservative websites",0,-1,0
12727,"I've spent my adult life fighting for Liberty, and I am excited about this new space where I can openly share my work with special people like you.

Parler accepts your right to express your thoughts, opinions and ideals online. No “throttling.” No shadow banning. Just Free Speech—our God-given, Constitutional Right.",0,0,0
12728,Best link to Covid deaths that show flu and pneumonia.,0,0,0
12729,"Obviously, they're shipping them back to France to be hired out again (and again and again.....)",0,0,0
12730,Bom dia povo patriota do parler,0,0,0
12731,Welcome to Parler. The first step towards taking back your voice. Thrilled to have you join our growing community! Share with your family & friends. Let’s have some fun. Let's Parley!,0,0,0
12732,Urinals too high or cock too long?,0,0,0
12733,Welcome! For people looking for Parler tips and how tos Check out @parlersupport or the Parler Youtube page. The videos are in both places. There is also a Parler101 channel which has some good data as well.,0,0,0
12734,Hide? Come see us on Jan 6th!,0,0,0
12735,Rioting solves nothing!!! It only makes things worse for everyone and takes away from the sad event that took place!!,0,0,0
12736,Good and many more need to follow suit. Stand up to the tyrants.,0,0,0
12737,Take a liberal shooting. That is how we win. Turning them pro-gun one liberal at a time. Works about 75% of time.,1,0,0
12738,There will be plenty of snipers on top of the White House!!,0,0,0
12739,"14 Days to flatten the curve. 
That was more than 3 months ago and we still can’t eat like humans inside, get a haircut or maybe open our swimming pool. I think we’ve been hoodwinked. /sarc",0,0,0
12740,"@Lovedemshepherds Uhm, conservatives say there’s a great recovery rate but also say the COVID number are falsely inflated...if that’s the case, recovery rate would plummet! You can’t have both, which is it?!???",0,0,0
12741,I’ve gone through that I know how they operate and it’s doing my fucking head in right now,0,0,0
12742,"@aricchen 
Step back. Take a breath. Trump knew this was going to happen that is why he said on January 5th ANTIFA/BLM are terrorists. Trump didn’t concede in his tweet. Quite the opposite. He brilliantly led them all into a trap. He has a plan!! Just listen:",1,1,people of color
12743,Desculpa! Quem usa meu Twitter é a Ro!,0,0,0
12744,"I wish the lettering was darker on this group, hard to read!",0,-1,0
12745,@KatieLynnAnderson I bet the original quality was perfect. 😉😉,0,0,0
12746,They are not and will not be the source to go to.,0,0,0
12747,"Happy Veterans Day, including my father who proudly served in the Air Force during Korea and the Vietnam wars, thank you to all who have served this great nation.",0,0,0
12748,100% I’m in. Give the word I’m ready! Do not give up! No surrender!,0,0,0
12749,That poor women she must have forgotten how to pronounce her name...they all need to go,0,-1,0
12750,"LOL! Now THAT’s funny. And, Governor Whitless, President Trump accepts your apology.",0,0,0
12751,"@CassieHolmes I don’t know why I asked!
It is beautiful!!!",0,0,0
12752,Glad to see you here on Parler where free speech is actually alive and well. Looking forward to mixing it up with you here and keeping the truth alive in the face of the constant bias we face. Let's Go!,0,0,0
12753,Doubtful! Read the story about Senator Durbin and the stupid voting that they did,0,0,0
12754,"Okay so I love TEXAS! I think its time to gave her some consideration. Given just a few of these facts, how do you feel about it? Pease share your thoughts with me. Ill be looking forward to hearing from you. God bless you and God bless Texas!",0,0,0
12755,Not in my neck of the woods!,0,-1,0
12756,That is tragic. I'm sure his life mattered. Let's see how press covers it.,0,0,0
12757,"You made it! Congratulations on choosing Parler, the free speech platform. I'm here to help you navigate the app, answer any questions, and ensure you have the best Parler experience. Puedo ayudar en Español también! #parlerconcierge",0,0,0
12758,"@EllieBOfficial. Fox Corporation is not part of 21st Century Fox, which is owned by Disney. Fox Corporation is owned 40% by Rupert Murdoch with balance of shares traded on NASDAQ. 

Either way, stopped watching it weeks ago.",0,0,0
12759,Finds a way to degenerate society further?,0,0,0
12760,"This is not only an election, this is a war between Good and Evil. Our enemies are powerful, unscrupulous, perfectly organized. But a united people, with faith in God, fears no enemy. The Light will prevail. God bless us all 🙏🏻✝️🗽
#ingodwetrust #keepthefaith #faithoverfear #saveourchildren #freedom #democracy #constitution #freedomfighters #riseupamerica #wethepeople #millionmagamarch #wakeupamerica #stopthesteal #maga2020 #4moreyears #draintheswamp #kag #wwg1wga #qanon #stopthecoup #defendtherepublic #1776 #patriots #fightback #patriotparty #potus45 #donaldtrump #trump2020 #trumptrain #election2020 #electionfraud #counteverylegalvote #scotus #dominion #nwo #deepstate #releasethekraken #server #digitalsoldiers #thegreatreset #thegreatawakening #usa #usarmy #doj #lawsuit #martiallaw #civilwar #china #communism #joebiden #bidencheated #beijingbiden #pedogate #obamagate #democRATS #covid19 #lockdown #healthdictatorship #scamdemic #nomask #novaccine #bigpharma #bigtech #parler #newuser",0,-1,0
12761,Glad to see you here on Parler where free speech is actually alive and well. Looking forward to mixing it up with you here and keeping the truth alive in the face of the constant bias we face. Let's Go!,0,0,0
12762,"This arrogant scum is the very reason I moved from NY to the great state of Tennessee!!! Guido is of the worst of liberal tyrants now murdering our parents and playing the game of Stalin. NY deserves this bastard. YOU STAY, YOU PAY!!! Plain and simple. Leave this hermit state and find out about the surrounding land that encompasses it called America!!!",1,1,0
12763,"I hope there is no bountygate. But if there is I don't have any faith that trump supporters will hold him responsible. I read all the news and am searching for truth. We know very little except we are dealing with a man who is a petty, serial cheater and liar imo.",1,0,0
12764,This man is just following the script he was given by the dems,0,0,0
12765,Welcome to Parler. I will see you in the comments. Please leave a review on the app stores and share with your friends!,0,0,0
12766,Twitter has censored yet another meme posted by President Donald Trump. ...,0,0,0
12767,"Like babies! He’s just mad bc Trump, once again... has the upper hand as always lmao!",1,0,0
12768,The obama deep state is stalling not trump #DemsAboveLaw,0,0,0
12769,"Ephesians 5 : 11
 ""And have no fellowship with the unfruitful works of darkness, but rather expose them."" 
 2 Timothy 1:7 
""For God has not given us a spirit of fear, but of power and of love and of a sound mind."" 
 Romans 8:28
And we know that all things work together for good to those who love God, to those who are the called according to His purpose. 
 Isaiah 41:10
""Fear not, for I am with you; Be not dismayed, for I am your God. I will strengthen you, Yes, I will help you, I will uphold you with My righteous right hand.""",0,0,0
12770,@CaptainMexico You mean indoctrinating them? But the college paradigm is shifting and you may find yourself serving them burgers. Good luck.,0,0,0
12771,"Massive Respect to the Proud Boys as ever, true Patriots 👏👏👏🇬🇧🇺🇸🇬🇧🇺🇸🇬🇧🇺🇸",0,0,0
12772,"Wait what, you mean let Americans be free in America????",0,0,0
12773,I just joined Parler! Looking forward to meeting everyone here.,0,0,0
12774,I quit watching news channels long ago. Haven't bought a paper in over 20 years.,0,0,0
12775,"Seems reasonable and I agree. I rarely engage in the back and forth.
It’s rarely a true discussion.
It’s usually unhealthy and
it’s always a time-waster.

#instablock and it feels so good. 😁🙋🏻‍♀️",0,0,0
12776,The Russian vaccine is clean from nano technology!,0,0,0
12777,I'm in! Where do I sign up?,0,0,0
12778,I never wore a mask yet. And I never will . There prepping you for Sharia Law ha!Mask do not do nothing !!!!!’,1,1,0
12779,@Wearethepartyoflincoln How's your mom's basement. You hanging out with pedo Joe Biden. Pussy,0,-1,0
12780,Nope!! Taxpayers should demand we quit paying for their venues. Have their liberal POS friends fund it.,1,0,0
12781,"Been using it for year, works great",0,0,0
12782,"Covid in Fl. I’m not promoting wearing a mask. I am stating that certain areas are more risky to the elderly who are mandated to wear masks, when they may have breathing issues to begin with.",0,0,0
12783,Comece a postar mais por aquí que divulgaremos.,0,0,0
12784,"I've spent my adult life fighting for Liberty, and I am excited about this new space where I can openly share my work with special people like you.

Parler accepts your right to express your thoughts, opinions and ideals online. No “throttling.” No shadow banning. Just Free Speech—our God-given, Constitutional Right.",0,0,0
12785,"It tells about how our government is run when the Secretary of State changes rules, but then has no authority to do so. The question is if he does his job correctly with the knowledge of government would he not know in the first to be allowed or not. Why would a judge have to tell the secretary of state his job. So what else has the Secretary of State done just because he feels like it. We need an overhaul on government officials. Stop placing people in office that are incompetent dont do their job correctly. The media just claimed the postal worker recanted because their journalism integrity is shot to hell. They figure if make him look discredited that will help convince people to shut up about the voting fraud going on. The postal worker needs to take a legal team to the media who posted this as a lie to make them retract the article with written apology.",0,0,0
12786,I just joined Parler! Looking forward to meeting everyone here.,0,0,0
12787,That's my piece of shit governor.,1,1,0
12788,Can’t wait to see this one not pan out like all the others.,0,0,0
12789,They only sued for &1 million. I'd have sued for a hell of a lot more. Then sued the police officers cumulatively & individually.,0,0,0
12790,"Good, let Turkey fight Russia. As long as we stay the hell out of it. Turkey is an anti American Muslim shithole anyway. Kick them out of NATO too.",1,1,muslim people
12791,Nah ... why give them the off chance that it works?,0,0,0
12792,"Let’s see it!!
He is the John Roberts listed on Epstein’s log....",0,0,0
12793,Glad to see you here on Parler where free speech is actually alive and well. Looking forward to mixing it up with you here and keeping the truth alive in the face of the constant bias we face. Let's Go!,0,0,0
12794,Welcome to Parler! Help us MAKE AMERICA GREAT AGAIN by clicking the link below. Be sure to text TRUMP to 88022!,0,0,0
12795,@Huckleberry76 A snickers was a marathon we changed to snickers I think because that's what you'd called it. That aside has everybody noticed how small they've all got? What a con😡,0,0,0
12796,Welcome! For people looking for Parler tips and how tos Check out @parlersupport or the Parler Youtube page. The videos are in both places. There is also a Parler101 channel which has some good data as well.,0,0,0
12797,Welcome to Parler! Help us MAKE AMERICA GREAT AGAIN by clicking the link below. Be sure to text TRUMP to 88022!,0,0,0
12798,Do we need to spell it out! Hillary and the Russian’s were the one colluding! How hard is that to understand.,0,0,0
12799,"The Raw data says we got Raw dogged
#nolube",0,0,0
12800,Welcome! For people looking for Parler tips and how tos Check out @parlersupport or the Parler Youtube page. The videos are in both places. There is also a Parler101 channel which has some good data as well.,0,0,0
12801,@PatriotKing1776 Completely missed the point I see. Great job.,0,0,0
12802,"Yeah, she’s a lady alright. So fine.",0,0,0
12803,It's not even about religion...although if you dig deeper it is...the point is that no human has the right to decide whether or not another human should live. It's basic human rights. It is extremely arrogant to say a baby who has not even left the womb is going to have a horrible life if they are disabled etc. No can decide that but the individual themselves. Everyone deserves a chance.,0,0,0
12804,I deleted Farcebook today! Don’t need it!,0,0,0
12805,Oh I don’t know. Hillary was whoring around all her life. Chelsea isn’t Bill’s kid.,0,0,0
12806,Welcome! For people looking for Parler tips and how tos Check out @parlersupport or the Parler Youtube page. The videos are in both places. There is also a Parler101 channel which has some good data as well.,0,0,0
12807,No. The GOP should have fixed the voter fraud problems.,0,0,0
12808,Thanks for adding me echoed followed all. I follow back 🇺🇸🇺🇸🇺🇸,0,0,0
12809,I have exactly one fan. He’s on Twitter. He pulls out snippets of stuff I wrote twenty years ago on cypherpunks...,0,0,0
12810,This Yayhoo should be Disbarred for this Incompetence,0,0,0
12811,That would be SO much fun.,0,0,0
12812,@SunshineStaci No they aren't. Totally false.,0,0,0
12813,"I hope you get a clue, and educate yourself and walk away from the Evil you surround yourself with. I will pray for you. Patriots love President Trump. God bless our President Trump.. ❤️🇺🇸❤️💜✝️💜",0,0,0
12814,Yes he does! Seems like we have waited long enough for him to stand up! He's got to make a major move toward removing the corrupt people what is he truely waiting on to bring them down. There should be no MORE evidence to uncover thats not enough to bring the whole corrupt system down. Where is his backbone. It's time for the Insurection Act and he must use it!!!,0,0,0
12815,Welcome to Parler. I will see you in the comments. Please leave a review on the app stores and share with your friends!,0,0,0
12816,Glad to see you here on Parler where free speech is actually alive and well. Looking forward to mixing it up with you here and keeping the truth alive in the face of the constant bias we face. Let's Go!,0,0,0
12817,Welcome. Great to have you. Follow us for your favorite commentary.,0,0,0
12818,He's N W O all the way.,0,-1,0
12819,Nice to have someone from Hollywood on Trumps side.,0,0,0
12820,I love it! 😁 He does not put up with their Bull#!#!,0,0,0
12821,Glad to see you here on Parler where free speech is actually alive and well. Looking forward to mixing it up with you here and keeping the truth alive in the face of the constant bias we face. Let's Go!,0,0,0
12822,"They draw them in with freebies and when it's too late, they have them enslaved. Freedom isn't free.",1,0,0
12823,Must Read for ALL PATRIOTS =>,0,0,0
12824,@Nltjr Me neither. And I don't believe his base has abandoned him at all. I think it's a media talking point more than anything.,0,0,0
12825,Strategic targeted coordinated TOO High profile enemies ! This is going to get ugly for the left !,0,0,0
